district,doc,pre_date,cur_date,days,pre_read,cur_read,consumption,bill,obstcle,meter,Y,X,ID,flats,land_use,capacity,diameter
 قرارداد  3209 کد 10شرکت فاينانس پو يا فن هيرکان گر گان ,11106511,990402,960421,156,2383,15399,338,1091805,nan,1393/08/01,,,21635400,6,مسكوني,15,0.75
 قرارداد  3209 کد 10شرکت فاينانس پو يا فن هيرکان گر گان ,11177630,971026,990603,124,1211,803,726,708054,از کار افتاده,1391/08/27,,272831.095807,16634200,16,مسكوني,70,0.75
ناحيه 6 گرگان,41111104,960530,960401,286,16565,1152,598,347434,از کار افتاده,1394/06/19,,273094.865349,25111200,18,مسكوني,32,0.75
 قرارداد 1915 کد 102شرکت فاينانس پو يا فن هيرکان گر گان ,11530917,940726,990318,143,1416,2407,244,639921,nan,1390/03/28,,,42811700,42,مسكوني,11,0.75
ناحيه 2 گرگان,41124460,970329,960403,40,4771,12531,835,633134,قرائت نشده,1395/02/09,,,14062955,28,مسكوني,77,0.75
ناحيه 6 گرگان,11313720,961106,970303,32,5168,3277,30,791485,از کار افتاده,1394/09/07,,,36041675,11,مسكوني,63,0.75
ناحيه 2 گرگان,11472887,970801,970328,165,9777,14013,636,333499,از کار افتاده,1399/12/06,4077099.05372,271791.384692,16753400,21,مسكوني,20,0.75
ناحيه 4 گرگان,11282557,950405,951117,63,2143,15827,271,146951,از کار افتاده,1392/07/30,4079270.07538,272224.667059,74645600,28,مسكوني,66,0.75
 قرارداد 1915 کد 102شرکت فاينانس پو يا فن هيرکان گر گان ,11463306,941001,980531,356,7996,12686,904,6254737,از کار افتاده,1397/02/01,,,22251000,11,مسكوني,198,0.75
ناحيه 5 گرگان,11420453,981201,981129,94,5218,21565,520,846590,قرائت نشده,1390/12/17,,,25004100,20,مسكوني,72,0.75
ناحيه روستايي گرگان,41148296,950423,981213,316,4538,12249,648,1171096,nan,1395/10/06,,272093.260944,64717600,10,مسكوني,11,0.75
 قرارداد  3210 کد 101شرکت فاينانس پو يا فن هيرکان گر گان ,11171976,960106,951017,1149,16353,4288,2142,1279178,از کار افتاده,1392/11/30,,,41236400,16,مسكوني,66,0.75
ناحيه 7 گرگان,11173758,950518,960801,147,9244,10870,636,1181163,nan,1391/04/13,4080379.39387,273962.823865,17300100,2,مسكوني,105,0.75
ناحيه 4 گرگان,11173421,990221,970312,141,326,2978,91,401557,قرائت نشده,1393/10/09,4080001.63382,,22610700,1,مسكوني,72,0.75
ناحيه 8 گرگان,11564137,950822,971222,745,8054,18696,731,819448,از کار افتاده,1390/04/28,,272768.073825,33330100,11,مسكوني,79,0.75
 قرارداد 1915 کد 102شرکت فاينانس پو يا فن هيرکان گر گان ,11321757,980502,960920,257,5222,2741,473,719283,قرائت نشده,1394/06/18,,271281.005547,14952900,1,مسكوني,24,0.75
املاک استيجاري اموزشي  ,41129151,970722,961029,299,1662,14716,234,1328456,از کار افتاده,1396/01/15,4080697.09101,,23251500,7,مسكوني,70,0.75
ناحيه 9 گرگان,11475665,970607,990908,25,13885,5707,219,599851,از کار افتاده,1391/09/17,,,14940000,7,مسكوني,22,0.75
املاک استيجاري اموزشي  ,11314661,941117,980904,385,1448,10583,548,781223,از کار افتاده,1393/02/07,4079584.10616,272994.16441,42241100,7,مسكوني,75,0.75
ناحيه 50 مراکز اداري دولتي ,11142607,970220,961106,188,5727,14031,1224,140852,nan,1393/09/20,,272776.070908,16740900,42,مسكوني,63,0.75
ناحيه روستايي گرگان,11262050,980310,961013,102,657,983,526,317156,از کار افتاده,1394/03/16,,,16790100,11,مسكوني,24,0.75
 قرارداد 16135 کد 221شرکت فاينانس پيام سازه سپاهان  ,41155110,950727,951116,117,745,14728,71,1308683,قرائت نشده,1396/12/23,54.413585,,14531100,7,مسكوني,51,0.75
ناحيه 6 گرگان,11308840,971219,981117,1658,1555,8493,407,86856,قرائت نشده,1396/04/05,,272520.035434,24001300,5,مسكوني,24,0.75
 قرارداد  3209 کد 10شرکت فاينانس پو يا فن هيرکان گر گان ,11314149,980722,981125,132,12117,15828,48,785938,قرائت نشده,1396/04/26,,273106.68293,55345900,16,مسكوني,131,0.75
ناحيه 1 گرگان,11650023,941101,980920,253,20336,1721,127,746676,nan,1397/03/13,4080280.14536,271471.243844,22451000,3,مسكوني,75,0.75
 قرارداد  3210 کد 101شرکت فاينانس پو يا فن هيرکان گر گان ,11385801,981114,991106,118,8722,12278,56,1274609,nan,1393/01/20,4079390.21166,,52510500,18,مسكوني,36,0.75
 قرارداد  3210 کد 101شرکت فاينانس پو يا فن هيرکان گر گان ,11315391,970806,981216,101,7065,12495,504,332689,nan,1395/07/13,4078293.37925,36.847393333333294,17846000,6,مسكوني,36,0.75
ناحيه 2 گرگان,11643801,981005,960516,186,15687,16232,997,1002184,قرائت نشده,1398/07/04,,273143.894789,16652100,1,مسكوني,15,0.75
ناحيه روستايي گرگان,11479733,941120,991028,71,5571,7468,510,894873,از کار افتاده,1391/07/21,,36.847685,21011600,14,مسكوني,60,0.75
ناحيه 2 گرگان,11478168,981019,970617,95,17748,24593,257,2767299,از کار افتاده,1399/01/26,,,32370800,13,مسكوني,8,0.75
ناحيه 3 گرگان,11447157,941112,981001,273,2983,13446,256,1208660,قرائت نشده,1390/01/15,,,22560300,21,مسكوني,50,0.75
 قرارداد  3209 کد 10شرکت فاينانس پو يا فن هيرکان گر گان ,11372301,980401,980611,126,8455,14979,641,791981,nan,1396/08/10,,272749.246537,23500900,7,مسكوني,15,0.75
املاک استيجاري اموزشي  ,41163821,970115,950404,272,6343,13074,726,1925268,nan,1397/07/08,4078288.20225,,23001700,4,مسكوني,60,0.75
ناحيه روستايي گرگان,11618501,960806,980222,273,5203,14562,466,1420643,قرائت نشده,1392/06/18,,,42501400,17,مسكوني,42,0.75
ناحيه 9 گرگان,11183737,940603,990718,321,10113,8356,650,1143009,از کار افتاده,1391/04/18,,272431.86271,26223600,14,مسكوني,8,0.75
ناحيه 8 گرگان,11200160,951101,980712,926,25991,609,63,574452,از کار افتاده,1392/02/01,,272501.006982,41450800,7,مسكوني,32,0.75
 قرارداد 16135 کد 221شرکت فاينانس پيام سازه سپاهان  ,11506994,970903,991027,222,11864,11269,431,484447,nan,1391/07/01,,,27089300,28,مسكوني,23,0.75
ناحيه روستايي گرگان,11572083,980417,961013,16,16520,8030,661,1079383,nan,1396/09/14,4078585.04463,,27087100,15,مسكوني,13,0.75
املاک استيجاري اموزشي  ,11319159,970329,980908,251,987,3305,766,1728013,nan,1390/05/20,,,11511225,16,مسكوني,0,0.75
ناحيه 5 گرگان,11337645,950817,980218,17,3460,19465,233,331839,قرائت نشده,1397/03/07,,272249.733965,62550800,4,مسكوني,240,0.75
ناحيه 7 گرگان,41176541,941118,981110,17,2110,3151,174,532791,از کار افتاده,1392/09/06,,273128.384341,14701300,13,مسكوني,43,0.75
ناحيه 50 مراکز اداري دولتي ,11493396,971223,950921,142,15811,9454,32,874867,nan,1391/02/14,4077161.32613,,14510200,28,مسكوني,10,0.75
 قرارداد 16135 کد 221شرکت فاينانس پيام سازه سپاهان  ,11268589,960609,980319,210,17051,13339,558,739377,nan,1391/05/11,,272908.698186,24112200,16,مسكوني,15,0.75
 قرارداد 1915 کد 102شرکت فاينانس پو يا فن هيرکان گر گان ,11585240,981124,950303,167,21866,1792,180,128699,از کار افتاده,1391/04/12,,272954.870322,46510500,10,مسكوني,8,0.75
املاک استيجاري اموزشي  ,11630016,981127,980625,202,10976,2130,625,765445,از کار افتاده,1396/11/20,,,14232500,24,مسكوني,12,0.75
ناحيه 3 گرگان,11261258,940912,990411,45,15807,8166,40,251655,nan,1399/06/30,4079253.70931,,11135200,3,مسكوني,70,0.75
ناحيه 2 گرگان,11115472,970621,970726,376,4583,6689,192,358179,قرائت نشده,1396/11/28,,,36053100,10,مسكوني,20,0.75
ناحيه 1 گرگان,11711061,971124,981218,32,7184,10996,535,1088956,قرائت نشده,1398/05/08,4079611.31008,269988.582951,65031801,17,مسكوني,14,0.75
ناحيه 7 گرگان,41177814,990204,960127,154,2285,12938,711,1279282,از کار افتاده,1392/06/07,4079732.15562,,74304900,23,مسكوني,24,0.75
ناحيه 8 گرگان,11643401,990601,951120,126,5698,15527,1151,546328,nan,1391/04/12,4078014.98272,272939.879556,26494800,14,مسكوني,63,0.75
ناحيه 4 گرگان,11386905,991002,950829,201,7296,10873,416,1169085,قرائت نشده,1391/02/11,4077055.73412,272168.620816,12142900,17,مسكوني,51,0.75
ناحيه 2 گرگان,11709687,971222,980202,89,12075,3108,144,1499704,قرائت نشده,1399/08/24,,274648.523554,65315000,16,مسكوني,60,0.75
ناحيه 2 گرگان,11509772,960110,960326,232,10378,8275,581,383995,قرائت نشده,1393/02/15,,,45446100,24,مسكوني,80,0.75
املاک استيجاري اموزشي  ,61692410,990312,960424,38,3229,4961,67,1137457,قرائت نشده,1391/12/07,,,22125000,10,مسكوني,37,0.75
ناحيه روستايي گرگان,11586301,980715,990316,179,6088,7985,294,302131,قرائت نشده,1392/01/19,4081240.09722,,32401600,4,مسكوني,131,0.75
 قرارداد  3210 کد 101شرکت فاينانس پو يا فن هيرکان گر گان ,11379542,970930,970823,41,7979,23034,633,309344,nan,1396/09/13,4079343.37074,,14230900,17,مسكوني,104,0.75
 قرارداد  3210 کد 101شرکت فاينانس پو يا فن هيرکان گر گان ,11178903,970925,960729,77,631,11037,337,2356771,از کار افتاده,1399/10/29,,272426.98306500004,21031300,23,مسكوني,22,0.75
 قرارداد  3209 کد 10شرکت فاينانس پو يا فن هيرکان گر گان ,11408127,950109,960919,53,12807,11526,14,751762,nan,1397/09/06,,,14081700,7,مسكوني,75,0.75
ناحيه 5 گرگان,41126039,950426,960526,86,1425,9992,374,410874,nan,1390/04/19,,274289.266681,16854000,16,مسكوني,80,0.75
ناحيه 1 گرگان,11686566,950212,990125,69,8175,4471,26,683111,nan,1392/02/12,4079359.26919,272261.533174,21831000,14,مسكوني,296,0.75
ناحيه 7 گرگان,11496956,990313,950130,89,11042,10097,201,229099,از کار افتاده,1395/10/12,,,27306000,18,مسكوني,42,0.75
ناحيه 50 مراکز اداري دولتي ,41116513,990222,980516,425,10341,7141,403,2731759,nan,1390/09/26,,272383.615963,16844201,42,مسكوني,131,0.75
املاک استيجاري اموزشي  ,11308041,960803,970509,40,4726,401,488,431375,قرائت نشده,1399/07/01,4080007.40863,,65160675,17,مسكوني,70,0.75
 قرارداد 16135 کد 221شرکت فاينانس پيام سازه سپاهان  ,11129911,961128,991026,89,14417,2680,100,432836,nan,1390/09/26,4080364.66569,,42150800,20,مسكوني,9,0.75
املاک استيجاري اموزشي  ,11601253,941104,981122,210,3043,18038,126,399978,از کار افتاده,1393/09/13,,,62653300,14,مسكوني,9,0.75
 قرارداد  3210 کد 101شرکت فاينانس پو يا فن هيرکان گر گان ,11575333,980913,990805,400,16421,17486,353,3014415,از کار افتاده,1395/06/28,,,16751800,9,مسكوني,35,0.75
 قرارداد 1915 کد 102شرکت فاينانس پو يا فن هيرکان گر گان ,11432192,970708,981010,362,11246,8654,1049,133027,nan,1393/11/28,4079824.04869,272861.271826,15273200,8,مسكوني,43,0.75
ناحيه 4 گرگان,41153460,970818,990325,248,6215,12548,313,386708,از کار افتاده,1395/04/06,,,22170700,7,مسكوني,51,0.75
 قرارداد 1915 کد 102شرکت فاينانس پو يا فن هيرکان گر گان ,11497758,990530,970322,159,7439,5980,292,276838,قرائت نشده,1393/12/06,4077603.59631,271676.812,23650500,6,مسكوني,296,0.75
 قرارداد  3209 کد 10شرکت فاينانس پو يا فن هيرکان گر گان ,11268171,970719,970824,70,15023,4698,482,413102,nan,1393/07/14,,,23431100,28,مسكوني,72,0.75
 قرارداد  3210 کد 101شرکت فاينانس پو يا فن هيرکان گر گان ,41138690,980125,990631,305,10498,14567,550,1168365,قرائت نشده,1393/09/18,4076438.4064,,25180900,42,مسكوني,65,0.75
 قرارداد 16135 کد 221شرکت فاينانس پيام سازه سپاهان  ,11392166,970818,970502,482,6296,14006,546,890701,قرائت نشده,1390/10/25,,,45223300,5,مسكوني,14,0.75
 قرارداد 16135 کد 221شرکت فاينانس پيام سازه سپاهان  ,11258508,961124,970626,10,13213,3594,576,1143876,nan,1395/05/20,4079938.89876,,23151500,1,مسكوني,79,0.75
 قرارداد 16135 کد 221شرکت فاينانس پيام سازه سپاهان  ,11339915,971006,950108,256,8314,2312,344,1045444,nan,1395/03/10,4079988.9509,271794.836625,16753300,8,مسكوني,5,0.75
ناحيه 5 گرگان,11111825,981029,950109,368,4037,1819,709,861419,قرائت نشده,1389/12/10,,,14784500,8,مسكوني,80,0.75
املاک استيجاري اموزشي  ,41166456,991001,990303,378,1198,9254,228,1361764,قرائت نشده,1393/03/01,4077443.87392,272946.314052,66420200,4,مسكوني,9,0.75
ناحيه روستايي گرگان,11190041,990318,981111,199,7714,15362,542,279269,از کار افتاده,1395/02/09,,,23343900,3,مسكوني,65,0.75
ناحيه 2 گرگان,11308351,960503,980404,2,6122,7320,632,2457198,nan,1396/10/21,,,21810000,28,مسكوني,65,0.75
ناحيه 7 گرگان,41176494,940604,971116,573,7004,3867,263,180856,nan,1398/10/30,4079288.39454,,25006400,12,مسكوني,165,0.75
ناحيه 2 گرگان,11646108,950627,950928,41,16326,2384,394,606352,قرائت نشده,1395/08/16,,,46622000,10,مسكوني,14,0.75
ناحيه 6 گرگان,41182397,980516,950610,73,19988,5743,863,1836913,از کار افتاده,1389/11/10,4079437.68474,,41856400,42,مسكوني,198,0.75
ناحيه روستايي گرگان,11346296,980809,990322,404,4026,43980,763,50629,nan,1399/02/19,,,14510900,5,مسكوني,42,0.75
املاک استيجاري اموزشي  ,11273663,970607,990206,573,8564,4838,496,886742,از کار افتاده,1398/06/21,4079457.43638,273072.297743,64011000,6,مسكوني,22,0.75
ناحيه 1 گرگان,11315048,950312,990629,305,9488,18830,371,126262,nan,1390/05/26,,271653.487584,26300400,12,مسكوني,72,0.75
ناحيه روستايي گرگان,11519158,961029,960127,90,4396,3765,219,168847,قرائت نشده,1393/02/26,,271402.28542800003,24354300,5,مسكوني,100,0.75
 قرارداد 16135 کد 221شرکت فاينانس پيام سازه سپاهان  ,11132989,990220,990701,377,17921,10051,352,574372,قرائت نشده,1395/06/06,,,74630811,13,مسكوني,27,0.75
ناحيه 9 گرگان,11600991,960508,970230,165,11969,13180,348,271319,nan,1397/05/28,4080782.01965,272953.153121,16662900,10,مسكوني,43,0.75
ناحيه روستايي گرگان,41019259,961017,941225,8,3693,654,230,515186,از کار افتاده,1398/02/18,,,63360600,17,مسكوني,7,0.75
 قرارداد 16135 کد 221شرکت فاينانس پيام سازه سپاهان  ,11438221,980823,970126,191,5429,4643,516,872093,قرائت نشده,1398/08/04,,,23032400,21,مسكوني,32,0.75
 قرارداد 1915 کد 102شرکت فاينانس پو يا فن هيرکان گر گان ,11582330,980811,991022,77,10010,9996,53,4249270,nan,1392/02/05,,270337.503566,16591900,5,مسكوني,20,0.75
 قرارداد 16135 کد 221شرکت فاينانس پيام سازه سپاهان  ,11229761,940912,980730,129,3174,2501,535,1652354,از کار افتاده,1399/06/03,,,44005695,15,مسكوني,11,0.75
ناحيه 7 گرگان,11138642,960125,980207,43,1199,903,236,614993,از کار افتاده,1391/12/27,,272256.000909,42460900,24,مسكوني,104,0.75
ناحيه 2 گرگان,11645010,960605,970114,149,19445,10012,650,1006576,از کار افتاده,1391/01/22,4079252.79202,,23364200,28,مسكوني,240,0.75
ناحيه 50 مراکز اداري دولتي ,11408381,960728,960606,31,5137,20587,66,530135,قرائت نشده,1393/09/01,,,52867200,14,مسكوني,75,0.75
ناحيه 4 گرگان,41147885,990102,950916,19,18701,1675,865,488804,قرائت نشده,1394/06/21,,,17849500,18,مسكوني,27,0.75
ناحيه 5 گرگان,11107500,950803,990528,218,11174,9677,232,710315,از کار افتاده,1396/05/22,,,16725700,14,مسكوني,28,0.75
ناحيه 50 مراکز اداري دولتي ,11106503,970329,980216,360,11061,8621,350,385985,nan,1392/09/05,,,27069100,17,مسكوني,51,0.75
 قرارداد  3210 کد 101شرکت فاينانس پو يا فن هيرکان گر گان ,41122912,980309,950926,57,1387,6667,162,991151,nan,1397/05/20,,272865.909066,16961600,42,مسكوني,5,0.75
